episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Avg_tardy,DDT,PT_var
1,-25.41,14.18,-65.00,26,32,22,20,7.19,1.3,0.2
2,-26.24,13.52,-66.00,17,29,31,23,7.49,1.3,0.2
3,-31.71,8.37,-71.80,26,16,28,30,7.93,1.3,0.2
4,-28.10,12.79,-69.00,30,20,25,25,7.37,1.3,0.2
5,-26.28,16.25,-68.80,22,25,22,31,7.49,1.3,0.2
6,-27.22,11.16,-65.60,22,29,22,27,7.48,1.3,0.2
7,-25.13,14.94,-65.20,25,25,26,24,7.45,1.3,0.2
8,-22.36,16.49,-61.20,22,34,23,21,6.87,1.3,0.2
9,-29.25,12.09,-70.60,27,27,23,23,7.35,1.3,0.2
10,-27.71,14.37,-69.80,17,30,25,28,7.87,1.3,0.2
11,-26.45,13.69,-66.60,23,31,20,26,7.39,1.3,0.2
12,-25.71,17.79,-69.20,26,31,15,28,7.78,1.3,0.2
13,-25.38,14.63,-65.40,29,30,16,25,7.63,1.3,0.2
14,-26.61,15.58,-68.80,18,25,32,25,7.78,1.3,0.2
15,-24.55,15.30,-64.40,20,31,26,23,7.42,1.3,0.2
16,-22.97,15.27,-61.20,22,42,17,19,7.18,1.3,0.2
17,-23.58,15.45,-62.60,24,32,28,16,7.08,1.3,0.2
18,-26.98,15.24,-69.20,24,27,27,22,7.69,1.3,0.2
19,-27.30,11.99,-66.60,27,32,21,20,7.44,1.3,0.2
20,-27.96,10.28,-66.20,20,31,27,22,7.42,1.3,0.2
21,-28.45,13.11,-70.00,15,40,25,20,7.59,1.3,0.2
22,-25.85,13.11,-64.80,23,32,22,23,7.31,1.3,0.2
23,-28.69,8.63,-66.00,29,30,22,19,7.60,1.3,0.2
24,-28.78,12.23,-69.80,30,26,24,20,7.65,1.3,0.2
25,-26.27,12.66,-65.20,21,34,19,26,7.57,1.3,0.2
26,-26.91,14.58,-68.40,33,26,19,22,7.76,1.3,0.2
27,-28.78,11.63,-69.20,31,23,24,22,7.59,1.3,0.2
28,-29.63,9.53,-68.80,29,28,27,16,7.50,1.3,0.2
29,-29.65,9.30,-68.60,23,35,21,21,7.57,1.3,0.2
30,-26.11,15.38,-67.60,24,31,25,20,7.45,1.3,0.2
31,-28.54,12.12,-69.20,32,24,22,22,7.56,1.3,0.2
32,-26.24,12.71,-65.20,28,23,26,23,7.03,1.3,0.2
33,-28.02,14.55,-70.60,28,28,21,23,7.92,1.3,0.2
34,-27.81,12.79,-68.40,23,27,32,18,7.48,1.3,0.2
35,-24.49,16.02,-65.00,29,35,17,19,7.31,1.3,0.2
36,-25.05,14.49,-64.60,29,31,20,20,7.39,1.3,0.2
37,-24.46,15.28,-64.20,32,22,26,20,7.29,1.3,0.2
38,-29.32,12.96,-71.60,23,28,26,23,7.75,1.3,0.2
39,-24.07,19.06,-67.20,36,24,16,24,7.59,1.3,0.2
40,-23.29,17.42,-64.00,31,29,18,22,7.30,1.3,0.2
41,-23.91,16.37,-64.20,36,34,14,16,7.40,1.3,0.2
42,-24.98,14.84,-64.80,30,33,19,18,7.13,1.3,0.2
43,-25.85,14.29,-66.00,33,33,18,16,7.55,1.3,0.2
44,-27.29,12.82,-67.40,32,33,18,17,7.84,1.3,0.2
45,-23.53,18.94,-66.00,29,36,21,14,7.53,1.3,0.2
46,-23.21,15.38,-61.80,33,31,21,15,7.17,1.3,0.2
47,-25.85,12.69,-64.40,28,37,23,12,7.30,1.3,0.2
48,-26.15,16.69,-69.00,40,21,18,21,7.50,1.3,0.2
49,-24.35,14.89,-63.60,42,27,12,19,7.03,1.3,0.2
50,-26.33,13.55,-66.20,32,30,18,20,7.77,1.3,0.2
51,-21.97,19.26,-63.20,31,30,24,15,7.25,1.3,0.2
52,-25.64,13.31,-64.60,32,30,15,23,7.60,1.3,0.2
53,-24.95,14.69,-64.60,37,25,21,17,7.45,1.3,0.2
54,-31.88,9.25,-73.00,32,25,21,22,7.90,1.3,0.2
55,-26.15,13.69,-66.00,30,28,19,23,7.50,1.3,0.2
56,-25.18,16.04,-66.40,42,26,15,17,7.09,1.3,0.2
57,-23.60,14.40,-61.60,35,34,13,18,7.25,1.3,0.2
58,-22.12,17.37,-61.60,29,39,11,21,7.37,1.3,0.2
59,-24.69,14.83,-64.20,37,31,13,19,7.30,1.3,0.2
60,-24.31,13.19,-61.80,35,37,16,12,7.17,1.3,0.2
61,-25.87,14.45,-66.20,30,37,21,12,7.46,1.3,0.2
62,-25.87,12.46,-64.20,29,35,18,18,7.23,1.3,0.2
63,-25.08,15.84,-66.00,44,28,15,13,7.74,1.3,0.2
64,-26.96,10.88,-64.80,42,33,11,14,7.25,1.3,0.2
65,-21.76,21.47,-65.00,46,30,12,12,7.81,1.3,0.2
66,-24.08,13.84,-62.00,34,40,13,13,6.90,1.3,0.2
67,-24.04,14.31,-62.40,29,39,12,20,6.68,1.3,0.2
68,-26.77,15.27,-68.80,37,25,24,14,8.13,1.3,0.2
69,-24.40,16.99,-65.80,46,31,16,7,7.83,1.3,0.2
70,-26.57,14.45,-67.60,47,30,13,10,7.81,1.3,0.2
71,-23.42,14.96,-61.80,41,27,19,13,6.94,1.3,0.2
72,-22.24,14.92,-59.40,29,50,14,7,6.91,1.3,0.2
73,-20.87,15.06,-56.80,46,36,5,13,6.88,1.3,0.2
74,-20.99,16.83,-58.80,32,41,10,17,6.57,1.3,0.2
75,-22.76,17.68,-63.20,42,36,9,13,7.18,1.3,0.2
76,-24.63,15.95,-65.20,45,28,12,15,7.08,1.3,0.2
77,-24.21,14.18,-62.60,44,30,13,13,7.32,1.3,0.2
78,-23.79,15.83,-63.40,33,40,13,14,7.40,1.3,0.2
79,-24.67,15.27,-64.60,43,37,10,10,7.57,1.3,0.2
80,-25.82,10.56,-62.20,41,34,10,15,7.16,1.3,0.2
81,-21.66,16.28,-59.60,47,36,10,7,6.93,1.3,0.2
82,-23.78,14.44,-62.00,36,46,5,13,7.56,1.3,0.2
83,-20.74,16.53,-58.00,37,42,12,9,6.69,1.3,0.2
84,-24.31,13.97,-62.60,38,36,14,12,7.12,1.3,0.2
85,-23.41,14.39,-61.20,36,45,13,6,7.17,1.3,0.2
86,-20.71,20.37,-61.80,45,41,6,8,7.23,1.3,0.2
87,-19.84,16.32,-56.00,32,50,8,10,6.64,1.3,0.2
88,-23.29,14.62,-61.20,43,42,10,5,7.33,1.3,0.2
89,-23.76,13.49,-61.00,38,44,8,10,7.52,1.3,0.2
90,-23.95,11.30,-59.20,34,50,12,4,6.80,1.3,0.2
91,-19.28,18.04,-56.60,35,47,9,9,6.72,1.3,0.2
92,-22.23,13.55,-58.00,33,46,10,11,7.12,1.3,0.2
93,-20.38,14.44,-55.20,34,50,7,9,6.35,1.3,0.2
94,-19.16,17.68,-56.00,31,54,6,9,6.89,1.3,0.2
95,-19.80,16.80,-56.40,28,55,11,6,6.94,1.3,0.2
96,-20.83,14.33,-56.00,34,54,6,6,6.67,1.3,0.2
97,-23.48,11.05,-58.00,23,60,9,8,6.93,1.3,0.2
98,-22.71,12.78,-58.20,26,55,10,9,6.97,1.3,0.2
99,-18.56,18.87,-56.00,25,59,6,10,6.50,1.3,0.2
100,-20.53,17.33,-58.40,23,61,7,9,6.69,1.3,0.2
101,-20.27,14.67,-55.20,31,54,7,8,6.55,1.3,0.2
102,-22.38,16.05,-60.80,25,53,8,14,7.08,1.3,0.2
103,-22.69,13.43,-58.80,19,68,5,8,6.89,1.3,0.2
104,-19.60,16.61,-55.80,23,62,6,9,6.44,1.3,0.2
105,-21.26,13.08,-55.60,20,63,8,9,7.02,1.3,0.2
106,-19.25,17.50,-56.00,21,67,6,6,6.91,1.3,0.2
107,-20.07,14.86,-55.00,22,69,2,7,6.56,1.3,0.2
108,-20.92,13.76,-55.60,16,66,9,9,6.50,1.3,0.2
109,-19.88,14.05,-53.80,20,71,7,2,6.48,1.3,0.2
110,-21.20,13.61,-56.00,18,71,3,8,6.65,1.3,0.2
111,-21.41,12.78,-55.60,15,73,9,3,6.63,1.3,0.2
112,-19.03,17.14,-55.20,33,54,5,8,6.58,1.3,0.2
113,-19.59,13.62,-52.80,16,73,8,3,6.30,1.3,0.2
114,-20.07,14.87,-55.00,22,67,4,7,6.64,1.3,0.2
115,-22.57,11.26,-56.40,28,60,6,6,6.43,1.3,0.2
116,-20.95,12.29,-54.20,25,63,6,6,6.43,1.3,0.2
117,-19.26,16.08,-54.60,21,68,6,5,6.72,1.3,0.2
118,-20.21,14.17,-54.60,24,66,6,4,6.57,1.3,0.2
119,-18.31,16.98,-53.60,30,62,4,4,6.50,1.3,0.2
120,-19.80,15.80,-55.40,18,72,7,3,6.66,1.3,0.2
121,-21.16,11.48,-53.80,20,72,4,4,6.39,1.3,0.2
122,-19.41,16.59,-55.40,22,68,4,6,6.49,1.3,0.2
123,-20.06,15.27,-55.40,29,59,7,5,6.52,1.3,0.2
124,-21.71,13.19,-56.60,28,62,5,5,6.50,1.3,0.2
125,-21.81,12.77,-56.40,26,63,6,5,6.71,1.3,0.2
126,-21.59,13.61,-56.80,40,47,9,4,6.38,1.3,0.2
127,-21.45,13.90,-56.80,26,60,9,5,7.03,1.3,0.2
128,-20.39,16.01,-56.80,20,67,7,6,7.07,1.3,0.2
129,-19.87,13.06,-52.80,30,61,6,3,6.45,1.3,0.2
130,-20.94,15.32,-57.20,30,60,6,4,6.92,1.3,0.2
131,-19.76,14.48,-54.00,24,60,8,8,6.45,1.3,0.2
132,-20.49,15.02,-56.00,24,59,12,5,6.87,1.3,0.2
133,-19.98,16.65,-56.60,32,55,6,7,6.74,1.3,0.2
134,-19.05,15.90,-54.00,27,59,8,6,6.65,1.3,0.2
135,-20.38,16.05,-56.80,24,60,7,9,6.78,1.3,0.2
136,-21.08,16.64,-58.80,24,57,13,6,7.17,1.3,0.2
137,-21.01,13.59,-55.60,22,62,10,6,6.78,1.3,0.2
138,-21.13,13.53,-55.80,23,68,3,6,6.57,1.3,0.2
139,-20.48,14.25,-55.20,21,66,5,8,6.75,1.3,0.2
140,-20.56,13.07,-54.20,16,71,7,6,6.49,1.3,0.2
141,-18.78,17.43,-55.00,28,64,5,3,6.69,1.3,0.2
142,-20.66,12.09,-53.40,20,69,8,3,5.99,1.3,0.2
143,-23.18,9.84,-56.20,21,61,14,4,6.28,1.3,0.2
144,-21.02,16.76,-58.80,20,62,11,7,6.62,1.3,0.2
145,-20.87,16.46,-58.20,29,54,8,9,6.79,1.3,0.2
146,-19.44,16.12,-55.00,20,64,8,8,6.62,1.3,0.2
147,-21.88,13.05,-56.80,19,68,6,7,6.70,1.3,0.2
148,-21.06,15.47,-57.60,23,67,4,6,6.58,1.3,0.2
149,-20.62,14.96,-56.20,16,70,8,6,6.76,1.3,0.2
150,-21.59,11.03,-54.20,17,70,8,5,6.37,1.3,0.2
151,-20.98,13.44,-55.40,21,67,7,5,6.71,1.3,0.2
152,-18.49,17.41,-54.40,21,68,5,6,6.79,1.3,0.2
153,-18.79,18.82,-56.40,18,70,9,3,7.15,1.3,0.2
154,-20.30,15.59,-56.20,19,64,6,11,7.03,1.3,0.2
