episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Average tardy jobs
1,-84.36,-99.72,-69.00,15,30,28,27,2.75
2,-74.10,-76.61,-71.60,23,25,33,19,1.05
3,-89.40,-99.19,-79.60,27,22,25,26,0.07
4,-71.42,-71.45,-71.40,21,18,24,37,0.26
5,-85.29,-99.38,-71.20,44,13,25,18,2.97
6,-78.73,-85.46,-72.00,29,13,19,39,0.46
7,-83.80,-97.40,-70.20,32,13,16,39,1.89
8,-74.78,-77.15,-72.40,47,14,19,20,1.07
9,-86.51,-99.83,-73.20,32,15,27,26,0.72
10,-81.86,-91.31,-72.40,39,18,18,25,2.41
11,-78.62,-88.85,-68.40,46,22,10,22,0.48
12,-88.13,-99.27,-77.00,43,12,18,27,0.17
13,-81.48,-95.76,-67.20,63,14,6,17,2.90
14,-80.61,-80.62,-80.60,58,24,7,11,0.53
15,-80.78,-93.16,-68.40,72,16,6,6,2.38
16,-75.11,-74.22,-76.00,71,13,7,9,0.84
17,-68.41,-62.82,-74.00,72,18,1,9,0.02
18,-70.76,-63.13,-78.40,87,5,3,5,0.09
19,-86.46,-96.12,-76.80,87,10,2,1,0.35
20,-86.69,-96.58,-76.80,95,3,1,1,1.69
21,-85.21,-96.42,-74.00,93,5,0,2,0.33
22,-84.10,-99.01,-69.20,98,2,0,0,3.14
23,-87.50,-98.59,-76.40,94,5,1,0,0.60
24,-87.97,-95.74,-80.20,98,2,0,0,0.11
25,-82.03,-88.85,-75.20,100,0,0,0,0.60
26,-84.28,-95.97,-72.60,100,0,0,0,1.27
27,-82.78,-94.56,-71.00,100,0,0,0,1.69
28,-81.39,-93.17,-69.60,100,0,0,0,1.93
29,-83.38,-92.57,-74.20,100,0,0,0,1.21
30,-86.80,-98.20,-75.40,100,0,0,0,0.17
31,-78.68,-81.95,-75.40,100,0,0,0,0.05
32,-77.20,-80.41,-74.00,100,0,0,0,0.14
33,-80.12,-83.83,-76.40,100,0,0,0,0.04
34,-74.02,-72.45,-75.60,100,0,0,0,0.04
35,-84.17,-98.93,-69.40,100,0,0,0,1.06
36,-72.22,-70.84,-73.60,100,0,0,0,0.44
37,-87.37,-98.34,-76.40,100,0,0,0,0.34
38,-79.44,-86.88,-72.00,100,0,0,0,0.75
39,-75.22,-78.84,-71.60,100,0,0,0,0.13
40,-78.48,-88.76,-68.20,100,0,0,0,0.73
41,-84.78,-94.76,-74.80,100,0,0,0,0.45
42,-71.63,-72.27,-71.00,100,0,0,0,0.23
43,-81.73,-94.06,-69.40,100,0,0,0,2.58
44,-74.14,-78.28,-70.00,100,0,0,0,1.23
