P(SSTP), P(ATCS), P(MDD), P(COVERT), Action, ,SSPT,ATCS,MDD,COVERT,n_tardy,pick_tardy
1.0,6.0758997832977e-09,2.941175514942218e-12,1.684292844084112e-10,SSPT,,1,0,0,0,0,False
1.0,1.0661461935512762e-08,6.4425483177477094e-12,2.9116906108406226e-10,SSPT,,2,0,0,0,0,False
1.0,2.479795746523905e-08,2.228291856587461e-11,7.512854782731893e-10,SSPT,,3,0,0,0,0,False
1.0,1.1310341996306761e-08,7.981262352407814e-12,3.5578151535986535e-10,SSPT,,4,0,0,0,0,False
1.0,1.0313024212393884e-08,6.303783016414766e-12,2.9706989645994497e-10,SSPT,,5,0,0,0,0,False
1.0,1.5446818935060946e-08,1.1374295602606388e-11,4.3289336004725953e-10,SSPT,,6,0,0,0,0,False
1.0,4.571336731373776e-08,5.7552289323137273e-11,1.457890475009549e-09,SSPT,,7,0,0,0,0,False
0.9999998807907104,1.0919416837396057e-07,1.9210878721143132e-10,4.195635838755152e-09,SSPT,,8,0,0,0,0,False
1.0,5.723404328250581e-08,7.43791070401123e-11,2.099550533429806e-09,SSPT,,9,0,0,0,0,False
1.0,1.032056129446346e-08,5.91210500694439e-12,2.726586456613944e-10,SSPT,,10,0,0,0,0,False
1.0,5.187477825074893e-08,6.162106241935916e-11,1.7304030430764783e-09,SSPT,,11,0,0,0,0,False
1.0,6.0758997832977e-09,2.941175514942218e-12,1.684292844084112e-10,SSPT,,12,0,0,0,0,False
1.0,1.2625951839595473e-08,8.140758900321288e-12,3.535970405366129e-10,SSPT,,13,0,0,0,0,False
1.0,1.24993411176888e-08,8.217669600352195e-12,3.4569860862809776e-10,SSPT,,14,0,0,0,0,False
1.0,2.440041946272231e-08,2.5679543561030194e-11,9.41164590706478e-10,SSPT,,15,0,0,0,0,False
1.0,3.529357073261963e-08,4.4999257792222025e-11,1.3693001177372821e-09,SSPT,,16,0,0,0,0,False
0.9999998807907104,1.1674652000692731e-07,1.9497409242674735e-10,4.5058556885635426e-09,SSPT,,17,0,0,0,0,False
1.0,4.739423786759289e-08,5.982665057802095e-11,1.486230805092248e-09,SSPT,,18,0,0,0,0,False
1.0,3.4835117901366175e-08,3.127530179281024e-11,1.083827583236996e-09,SSPT,,19,0,0,0,0,False
