episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Average tardy jobs
1,-84.07,-98.53,-69.6,22,30,28,20,4.19
2,-83.37,-98.74,-68,25,27,24,24,3.89
3,-80.23,-89.46,-71,22,23,35,20,2.89
4,-75.58,-77.96,-73.2,17,33,29,21,1.58
5,-84.29,-98.99,-69.6,23,24,24,29,6.07
6,-83.72,-99.64,-67.8,25,35,20,20,4.49
7,-84.4,-93.8,-75,25,23,16,36,1.39
8,-81.2,-99.21,-63.2,27,30,22,21,6.6
9,-86.43,-98.66,-74.2,34,23,22,21,3.92
10,-79.34,-94.48,-64.2,26,23,33,18,9.16
11,-82.5,-95.8,-69.2,33,18,31,18,8.8
12,-82.55,-99.9,-65.2,27,19,32,22,11.84
13,-82.06,-97.93,-66.2,31,21,31,17,15.17
14,-83.16,-97.31,-69,30,24,26,20,4.03
15,-82.53,-96.45,-68.6,30,23,30,17,5
16,-81.75,-96.89,-66.6,25,26,25,24,3.94
17,-79.66,-94.13,-65.2,26,26,24,24,8.25
18,-82.97,-99.14,-66.8,34,23,24,19,10.05
19,-80.47,-94.74,-66.2,31,20,32,17,9.03
20,-76.91,-93.81,-60,33,27,24,16,7.52
21,-83.99,-97.39,-70.6,33,19,22,26,5.2
22,-80.74,-99.89,-61.6,27,21,23,29,11.41
23,-76.07,-83.75,-68.4,27,27,32,14,8.56
24,-82.99,-96.77,-69.2,30,14,33,23,7.1
25,-77.23,-91.46,-63,34,22,25,19,8.89
26,-82.08,-98.75,-65.4,29,24,25,22,3.24
27,-86.19,-97.17,-75.2,17,22,33,28,4.26
28,-79.16,-86.52,-71.8,22,21,32,25,2.27
29,-84.89,-99.58,-70.2,24,24,30,22,2.09
30,-78.09,-89.38,-66.8,32,25,21,22,7.11
31,-86.18,-99.95,-72.4,29,22,28,21,5.82
32,-81.5,-93.59,-69.4,24,21,28,27,8.3
33,-81.26,-89.91,-72.6,26,18,31,25,4.69
34,-81.08,-97.75,-64.4,27,26,25,22,1.22
35,-81.26,-99.13,-63.4,27,25,38,10,8.34
36,-83.09,-97.78,-68.4,29,25,21,25,4.49
37,-83.98,-94.96,-73,24,16,36,24,6.14
38,-80.1,-86.59,-73.6,33,25,31,11,4.93
39,-84.59,-98.78,-70.4,22,26,28,24,5.94
40,-82.29,-97.99,-66.6,20,27,37,16,5.02
41,-78.3,-93.99,-62.6,30,29,28,13,9.41
42,-83.55,-99.1,-68,27,28,25,20,6.19
43,-84.26,-98.92,-69.6,23,27,32,18,5.57
44,-84.52,-97.04,-72,27,19,32,22,5.15
45,-80.67,-89.93,-71.4,24,29,29,18,0.82
46,-78.21,-94.23,-62.2,34,30,22,14,6.59
47,-85.87,-98.14,-73.6,22,20,48,10,6.75
48,-76.94,-84.07,-69.8,28,22,30,20,0.9
49,-79.44,-90.87,-68,26,24,36,14,7.81
50,-79.43,-90.65,-68.2,23,23,33,21,5.59
51,-82.93,-96.27,-69.6,30,24,30,16,6.09
52,-78.43,-90.86,-66,25,23,35,17,4.94
53,-82.95,-97.5,-68.4,22,26,34,18,6.53
54,-82.75,-98.89,-66.6,18,28,39,15,8.78
55,-87.59,-99.37,-75.8,22,26,33,19,1.28
56,-82.23,-97.46,-67,21,25,32,22,4.06
57,-83.53,-99.25,-67.8,15,26,50,9,11.79
58,-84.36,-99.92,-68.8,20,26,35,19,7.9
59,-82.72,-97.23,-68.2,17,26,37,20,7.27
60,-82.53,-99.26,-65.8,26,28,31,15,6.67
61,-81.29,-96.59,-66,26,21,31,22,5.25
62,-82.82,-97.44,-68.2,17,30,36,17,8.02
63,-84.77,-99.54,-70,25,22,37,16,7.93
64,-84.82,-99.85,-69.8,20,33,27,20,2.36
65,-81.82,-98.63,-65,15,32,38,15,13
66,-84.13,-98.86,-69.4,21,24,37,18,3.05
67,-81.55,-97.9,-65.2,29,34,23,14,6.23
68,-84.04,-98.07,-70,16,32,37,15,7.61
69,-81.33,-91.25,-71.4,18,26,47,9,10.43
70,-85.33,-97.06,-73.6,17,23,45,15,8.29
71,-79.93,-91.26,-68.6,19,28,43,10,7.77
72,-85,-98.81,-71.2,14,22,49,15,7.8
73,-85.07,-96.95,-73.2,23,22,35,20,3.5
74,-85.78,-99.76,-71.8,16,24,45,15,7.88
75,-84.19,-99.38,-69,29,25,37,9,5.08
76,-84.68,-98.96,-70.4,14,16,57,13,12.14
77,-78.39,-84.57,-72.2,21,22,37,20,1.88
78,-78.93,-89.66,-68.2,17,20,55,8,9.77
79,-82.65,-98.51,-66.8,16,21,42,21,7.35
80,-80.78,-87.75,-73.8,15,22,44,19,3.77
81,-84.91,-96.42,-73.4,20,27,36,17,3.34
82,-87.93,-99.86,-76,11,18,56,15,11.2
83,-80.52,-91.44,-69.6,13,22,50,15,9.91
84,-84.64,-99.67,-69.6,14,32,34,20,6.89
85,-84.4,-96.19,-72.6,14,26,50,10,4.03
86,-80.7,-94,-67.4,19,17,49,15,11.15
87,-81.84,-95.67,-68,11,22,44,23,6.18
88,-79.91,-86.62,-73.2,20,20,35,25,1.85
89,-80.19,-94.97,-65.4,12,30,42,16,11.73
90,-85.84,-98.29,-73.4,15,24,38,23,5.4
91,-86.73,-99.06,-74.4,15,16,47,22,9.94
92,-83.98,-98.16,-69.8,19,19,43,19,8.38
93,-84.31,-96.61,-72,10,26,53,11,11.71
94,-84.29,-99.79,-68.8,18,26,41,15,9.45
95,-79.99,-90.59,-69.4,24,18,40,18,2.28
96,-86.1,-94.41,-77.8,23,21,39,17,3.84
97,-83.83,-99.65,-68,22,16,50,12,8.74
98,-86.53,-99.45,-73.6,17,20,48,15,7.94
99,-83.14,-96.28,-70,15,21,48,16,3.93
100,-86.49,-99.19,-73.8,17,21,47,15,4.5
101,-82.46,-91.51,-73.4,25,15,47,13,4.37
102,-85.38,-98.56,-72.2,13,13,65,9,9.28
103,-86.06,-99.92,-72.2,15,24,48,13,3.14
104,-86.39,-98.59,-74.2,21,16,47,16,5.24
105,-84.57,-99.75,-69.4,19,17,54,10,8.05
106,-83.46,-93.13,-73.8,21,20,36,23,0.43
107,-83.55,-98.1,-69,21,17,43,19,4.07
108,-84.61,-96.02,-73.2,20,18,38,24,1.92
109,-88.17,-99.33,-77,10,6,70,14,9.92
110,-85.7,-96,-75.4,7,12,59,22,5.08
111,-86.81,-99.62,-74,4,17,65,14,6.65
112,-87.6,-99.79,-75.4,0,8,86,6,14.25
113,-88.43,-97.06,-79.8,7,11,74,8,6.95
114,-86.05,-98.89,-73.2,11,12,65,12,8.26
115,-88.43,-99.65,-77.2,3,8,81,8,9.04
116,-88.28,-98.57,-78,5,11,72,12,11.36
117,-86.15,-97.3,-75,8,12,70,10,7.46
118,-82.5,-92.81,-72.2,7,8,77,8,6.98
119,-86.55,-95.51,-77.6,9,7,69,15,5.31
120,-80.17,-88.94,-71.4,15,11,53,21,4.93
121,-85.68,-96.37,-75,11,7,72,10,6.77
122,-87.94,-98.08,-77.8,10,14,62,14,3.81
123,-85.99,-93.97,-78,8,9,75,8,7.45
124,-86.87,-99.35,-74.4,7,11,69,13,4.58
125,-85.31,-91.61,-79,2,5,90,3,9.67
126,-85.98,-99.36,-72.6,11,12,69,8,8.22
127,-88,-98.01,-78,6,8,73,13,4.34
128,-85.08,-95.96,-74.2,9,9,73,9,4.96
129,-81.9,-88.4,-75.4,13,16,52,19,1.37
130,-85.54,-94.67,-76.4,1,5,89,5,12.02
131,-78.68,-82.17,-75.2,14,16,58,12,2.42
132,-87.68,-94.97,-80.4,4,4,85,7,9.11
133,-86.79,-97.77,-75.8,4,5,88,3,9.37
134,-88.78,-97.17,-80.4,6,10,80,4,7.92
135,-86.71,-98.22,-75.2,4,6,81,9,5
136,-88.4,-98.39,-78.4,4,12,73,11,5.61
137,-89.09,-99.57,-78.6,5,6,81,8,3.78
138,-84.33,-95.45,-73.2,5,7,77,11,6.27
139,-86.54,-96.49,-76.6,9,5,80,6,7.46
140,-86.2,-97.01,-75.4,5,6,83,6,9.79
141,-86.83,-97.46,-76.2,7,10,78,5,6.17
142,-89.94,-99.67,-80.2,3,5,89,3,6.68
143,-88.67,-99.34,-78,1,2,93,4,11.84
144,-86.36,-99.11,-73.6,7,9,76,8,5.84
145,-85.92,-91.24,-80.6,1,2,95,2,12.07
146,-88.43,-94.85,-82,4,9,83,4,6.6
147,-86.74,-91.48,-82,11,8,72,9,3.86
148,-79.85,-84.09,-75.6,6,8,80,6,4.82
149,-88.75,-99.31,-78.2,5,6,86,3,7.56
150,-89.38,-99.77,-79,0,4,92,4,7.5
151,-77.4,-78.4,-76.4,8,11,71,10,1.86
152,-87.85,-97.7,-78,8,8,82,2,3.95
153,-85.11,-93.81,-76.4,2,2,93,3,11.03
154,-86.24,-95.88,-76.6,5,8,81,6,8.05
155,-91.81,-99.41,-84.2,4,6,89,1,7.89
156,-88.69,-97.58,-79.8,7,4,87,2,7.29
157,-87.25,-99.1,-75.4,0,4,94,2,7.19
158,-88.68,-97.35,-80,4,8,87,1,8.84
159,-87.41,-99.63,-75.2,5,6,85,4,7.11
160,-88.31,-96.42,-80.2,2,3,93,2,12.99
161,-78.26,-84.72,-71.8,0,4,91,5,6.49
162,-84.34,-98.09,-70.6,5,7,84,4,4.88
163,-86.59,-96.79,-76.4,7,5,88,0,3.67
164,-90.8,-99.2,-82.4,8,3,85,4,5.02
165,-82.46,-83.31,-81.6,20,14,59,7,0.4
166,-81.94,-87.69,-76.2,2,1,93,4,7.91
167,-83.92,-90.65,-77.2,6,6,83,5,4.4
168,-86.62,-95.04,-78.2,12,15,68,5,1.25
169,-91.31,-99.01,-83.6,1,0,94,5,6.95
170,-80.71,-88.82,-72.6,10,14,70,6,1.69
171,-88.71,-99.83,-77.6,2,2,95,1,11.04
172,-88.92,-96.63,-81.2,3,0,95,2,8.98
173,-75.79,-73.39,-78.2,5,5,84,6,3.21
174,-87.55,-99.9,-75.2,3,3,94,0,11.02
175,-82.59,-86.17,-79,10,10,77,3,4.54
176,-87.5,-99.2,-75.8,2,1,95,2,6.31
177,-88.49,-97.78,-79.2,8,2,87,3,8.08
178,-87.49,-99.77,-75.2,3,1,91,5,5.25
179,-88.5,-97.61,-79.4,3,2,93,2,8.48
180,-89.97,-99.93,-80,1,0,97,2,7.76
181,-88.19,-98.57,-77.8,2,2,93,3,8.51
182,-83.9,-90.99,-76.8,3,2,93,2,6.9
183,-85.38,-89.96,-80.8,3,5,89,3,3.15
184,-87.77,-99.14,-76.4,6,6,84,4,4.34
185,-87.81,-99.82,-75.8,1,6,87,6,7.33
186,-92.37,-99.94,-84.8,4,1,94,1,11.55
187,-85.13,-96.85,-73.4,3,3,92,2,5.93
188,-87.47,-91.94,-83,3,1,94,2,7.6
189,-84.98,-95.56,-74.4,0,0,99,1,10.16
190,-88.45,-99.7,-77.2,5,8,84,3,7.73
191,-88.3,-99.81,-76.8,1,7,92,0,7.46
192,-87.33,-95.86,-78.8,5,4,90,1,7.99
193,-83.96,-87.12,-80.8,1,4,92,3,7.67
194,-92.34,-94.48,-90.2,4,3,90,3,8.12
195,-89.26,-96.93,-81.6,3,0,96,1,10.78
196,-80.02,-83.85,-76.2,3,6,83,8,3.73
197,-86.07,-89.54,-82.6,2,1,95,2,13.09
198,-84.72,-90.43,-79,3,2,94,1,10.15
199,-82.27,-86.95,-77.6,2,5,87,6,4.73
200,-86.89,-95.98,-77.8,2,11,83,4,6.34
201,-83.49,-91.37,-75.6,4,8,84,4,7.9
202,-83.39,-92.58,-74.2,2,5,91,2,10.64
203,-84.48,-93.76,-75.2,1,4,90,5,6.92
204,-82.28,-86.97,-77.6,3,3,89,5,8.79
205,-81.14,-86.29,-76,1,6,92,1,7.66
206,-83.93,-98.06,-69.8,3,11,82,4,5.61
207,-86.94,-96.09,-77.8,1,11,81,7,8.31
208,-85.04,-91.69,-78.4,3,5,83,9,9.08
209,-87.05,-96.7,-77.4,1,8,88,3,7.4
210,-88.38,-98.16,-78.6,6,15,67,12,2.42
211,-87.12,-99.85,-74.4,0,5,91,4,13.75
212,-88.1,-99.4,-76.8,2,8,85,5,8.7
213,-83.05,-89.5,-76.6,10,18,58,14,2.11
214,-89.66,-99.33,-80,4,10,82,4,4.62
215,-88.36,-97.52,-79.2,5,11,70,14,4.68
216,-86.22,-92.43,-80,1,11,78,10,4.44
217,-87.31,-98.01,-76.6,2,10,79,9,7.56
218,-87.1,-93.19,-81,2,8,81,9,12.08
219,-86.56,-99.73,-73.4,4,8,79,9,6.79
220,-86.97,-99.93,-74,6,18,63,13,3.18
221,-88.41,-99.02,-77.8,1,10,86,3,11.99
222,-84.54,-96.68,-72.4,1,10,84,5,7.55
223,-86.79,-95.78,-77.8,14,16,49,21,1.07
224,-83.73,-88.86,-78.6,3,10,79,8,8.03
225,-85.24,-91.68,-78.8,3,7,80,10,9.82
226,-88.23,-98.46,-78,1,16,73,10,6.01
227,-85.66,-97.71,-73.6,3,15,62,20,4.38
228,-86.97,-96.34,-77.6,8,8,71,13,6.4
229,-89.59,-98.58,-80.6,6,9,64,21,7.4
230,-84.61,-94.83,-74.4,4,18,60,18,4.83
231,-84.28,-92.16,-76.4,7,12,72,9,4.99
232,-85.79,-91.37,-80.2,6,13,67,14,4.09
233,-88.89,-96.98,-80.8,3,10,75,12,6.56
234,-89.51,-97.43,-81.6,2,5,90,3,12.42
235,-89.57,-99.94,-79.2,2,10,84,4,10.14
236,-88.31,-98.42,-78.2,4,14,71,11,7.75
237,-86.1,-99,-73.2,4,15,76,5,7.22
238,-88.33,-99.46,-77.2,3,15,69,13,4.51
239,-84.88,-99.36,-70.4,3,12,77,8,10.26
240,-83.73,-95.26,-72.2,3,15,68,14,5.88
241,-88.28,-99.96,-76.6,3,9,78,10,11.07
242,-78.39,-85.58,-71.2,8,15,61,16,5.31
243,-82.21,-89.63,-74.8,6,13,71,10,8.23
244,-87.87,-98.34,-77.4,9,14,67,10,6.55
245,-85.97,-97.13,-74.8,3,14,73,10,5.88
246,-85.3,-96.61,-74,7,13,71,9,5.74
247,-83.61,-96.22,-71,5,15,71,9,10.08
248,-85.59,-97.78,-73.4,9,16,68,7,6.38
249,-85.94,-95.28,-76.6,6,13,80,1,8.86
250,-89.01,-97.42,-80.6,10,9,77,4,4.46
251,-88.83,-99.66,-78,6,13,78,3,5.4
252,-86.69,-98.99,-74.4,8,18,62,12,2.57
253,-81.22,-90.25,-72.2,4,10,81,5,8.31
254,-81.24,-93.09,-69.4,6,20,60,14,4.41
255,-82.07,-89.35,-74.8,6,20,66,8,6.96
256,-88.82,-99.64,-78,2,15,76,7,6.69
257,-82.36,-94.32,-70.4,3,16,76,5,8.75
258,-88.85,-99.71,-78,6,11,79,4,14.29
