episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Avg_tardy,DDT,PT_var
1,-80.97,-93.74,-68.20,25,28,24,23,2.95,1.1,0.2
2,-81.87,-99.35,-64.40,28,19,28,25,10.11,0.8,0.4
3,-79.75,-95.69,-63.80,18,26,34,22,7.97,1.1,0.1
4,-85.41,-99.82,-71.00,29,20,22,29,7.11,0.8,0.1
5,-84.40,-99.60,-69.20,23,27,20,30,5.68,0.9,0.2
6,-81.84,-96.48,-67.20,20,31,17,32,4.61,0.9,0.4
7,-84.30,-99.80,-68.80,17,28,30,25,5.87,0.8,0.3
8,-82.50,-97.01,-68.00,18,27,25,30,5.16,1.0,0.3
9,-80.05,-96.50,-63.60,18,27,21,34,7.79,1.2,0.1
10,-84.92,-99.65,-70.20,12,21,25,42,10.65,0.9,0.2
11,-82.47,-99.54,-65.40,20,19,24,37,10.13,0.8,0.4
12,-84.60,-98.39,-70.80,16,18,35,31,10.39,1.1,0.2
13,-84.68,-99.96,-69.40,21,25,29,25,5.55,0.8,0.1
14,-83.37,-97.33,-69.40,29,16,27,28,11.91,1.1,0.2
15,-83.24,-99.49,-67.00,27,17,28,28,8.37,0.9,0.1
16,-77.72,-85.45,-70.00,25,27,22,26,2.30,1.1,0.4
17,-77.15,-85.11,-69.20,20,21,27,32,10.99,1.2,0.5
18,-84.50,-99.81,-69.20,14,33,17,36,9.15,0.9,0.2
19,-83.67,-99.74,-67.60,25,26,19,30,7.82,0.9,0.1
20,-83.92,-99.64,-68.20,19,24,24,33,11.39,0.9,0.3
21,-81.73,-92.46,-71.00,16,25,26,33,9.25,1.2,0.2
22,-84.52,-97.64,-71.40,23,24,31,22,6.36,0.9,0.3
23,-82.56,-96.11,-69.00,21,23,28,28,8.26,1.0,0.4
24,-80.09,-95.59,-64.60,28,25,19,28,8.57,1.1,0.4
25,-82.57,-92.54,-72.60,23,19,26,32,3.70,1.0,0.5
26,-82.37,-95.93,-68.80,21,23,21,35,7.30,1.0,0.3
27,-83.44,-98.48,-68.40,24,15,27,34,8.40,1.0,0.2
28,-81.86,-96.52,-67.20,25,22,31,22,8.11,1.1,0.3
29,-86.23,-98.86,-73.60,24,18,17,41,11.10,0.9,0.3
30,-73.62,-83.45,-63.80,26,16,25,33,4.15,1.2,0.4
31,-87.09,-99.78,-74.40,22,23,15,40,10.83,0.9,0.2
32,-78.12,-91.44,-64.80,25,25,14,36,4.88,1.0,0.4
33,-86.00,-99.80,-72.20,27,23,18,32,2.34,0.8,0.1
34,-84.23,-94.66,-73.80,21,24,22,33,2.80,0.9,0.4
35,-78.04,-89.69,-66.40,27,21,23,29,6.04,1.1,0.4
36,-75.37,-81.93,-68.80,23,19,22,36,1.28,1.1,0.4
37,-80.14,-98.48,-61.80,16,37,20,27,11.48,1.0,0.3
38,-82.85,-98.30,-67.40,29,25,15,31,7.16,0.9,0.3
39,-81.90,-92.80,-71.00,21,17,30,32,2.60,1.1,0.3
40,-80.70,-96.80,-64.60,22,31,20,27,5.32,0.9,0.5
41,-76.97,-89.35,-64.60,25,29,24,22,5.11,1.1,0.4
42,-80.93,-96.05,-65.80,29,32,15,24,7.63,1.0,0.4
43,-84.30,-99.81,-68.80,26,30,18,26,4.97,0.8,0.2
44,-82.54,-96.88,-68.20,20,31,24,25,5.20,1.0,0.3
45,-82.12,-98.44,-65.80,26,28,26,20,8.27,0.9,0.4
46,-76.12,-92.43,-59.80,16,37,20,27,10.81,1.1,0.4
47,-79.46,-86.93,-72.00,25,25,23,27,1.27,1.1,0.2
48,-78.54,-93.49,-63.60,20,36,14,30,11.71,1.1,0.3
49,-85.21,-99.83,-70.60,26,28,14,32,5.01,0.8,0.1
50,-82.48,-97.17,-67.80,13,34,15,38,5.65,1.0,0.2
51,-82.66,-95.72,-69.60,13,32,17,38,9.23,1.0,0.3
52,-83.87,-99.53,-68.20,16,30,14,40,11.90,0.8,0.3
53,-83.64,-95.27,-72.00,24,28,23,25,3.42,0.9,0.3
54,-84.26,-97.13,-71.40,19,32,16,33,5.82,0.9,0.5
55,-79.54,-95.09,-64.00,28,28,18,26,7.87,1.1,0.3
56,-81.20,-99.39,-63.00,17,37,13,33,10.67,0.8,0.2
57,-80.42,-96.25,-64.60,20,36,13,31,9.67,1.2,0.2
58,-80.37,-92.13,-68.60,25,30,13,32,3.16,1.0,0.4
59,-82.48,-98.75,-66.20,21,31,19,29,3.73,1.0,0.1
60,-78.90,-92.39,-65.40,18,30,11,41,3.75,1.0,0.4
61,-84.63,-97.66,-71.60,27,24,16,33,5.79,0.9,0.4
62,-81.33,-99.67,-63.00,23,36,13,28,11.62,0.8,0.4
63,-78.76,-87.12,-70.40,28,26,14,32,1.24,1.1,0.4
64,-81.54,-98.67,-64.40,22,36,14,28,5.47,0.9,0.2
65,-83.50,-99.00,-68.00,23,28,26,23,0.73,0.8,0.3
66,-81.44,-99.67,-63.20,21,30,15,34,10.38,0.9,0.2
67,-82.46,-96.32,-68.60,24,23,19,34,9.33,1.0,0.4
68,-79.55,-92.09,-67.00,25,25,19,31,5.06,1.0,0.5
69,-85.85,-99.69,-72.00,26,32,22,20,4.44,0.9,0.1
70,-81.04,-95.07,-67.00,28,27,16,29,13.57,1.2,0.4
71,-78.39,-88.98,-67.80,25,22,19,34,4.67,1.0,0.3
72,-74.23,-86.65,-61.80,30,26,17,27,7.82,1.2,0.3
73,-83.33,-99.26,-67.40,22,31,25,22,5.92,0.9,0.2
74,-80.87,-99.95,-61.80,30,35,14,21,9.70,0.8,0.1
75,-76.47,-90.55,-62.40,29,34,21,16,13.93,1.2,0.5
76,-77.30,-94.19,-60.40,34,25,17,24,7.74,1.1,0.3
77,-79.00,-85.01,-73.00,21,31,26,22,2.81,1.2,0.4
78,-80.26,-99.51,-61.00,26,37,11,26,14.16,1.0,0.1
79,-76.18,-82.36,-70.00,35,28,17,20,2.96,1.2,0.3
80,-82.71,-98.21,-67.20,26,31,22,21,7.78,0.8,0.3
81,-80.31,-93.63,-67.00,22,33,25,20,5.28,1.0,0.3
82,-80.48,-90.17,-70.80,18,36,25,21,1.36,1.2,0.3
83,-75.42,-87.25,-63.60,22,36,19,23,9.62,1.2,0.5
84,-82.17,-99.14,-65.20,27,46,12,15,4.60,0.9,0.2
85,-81.97,-99.74,-64.20,32,28,22,18,2.16,0.8,0.2
86,-76.04,-88.27,-63.80,31,28,22,19,5.98,1.1,0.5
87,-78.00,-88.59,-67.40,29,32,21,18,6.15,1.1,0.3
